number	recipe_name	ingredients	cooking_time
0	Брауни (brownie)	6 ИНГРЕДИЕНТОВ	40 минут
1	Сырники из творога	5 ИНГРЕДИЕНТОВ	30 минут
2	Спагетти карбонара со сливками	10 ИНГРЕДИЕНТОВ	20 минут
3	Классическая шарлотка	6 ИНГРЕДИЕНТОВ	35 минут
4	Лазанья классическая с мясом	8 ИНГРЕДИЕНТОВ	40 минут
5	Тонкие блины на молоке	6 ИНГРЕДИЕНТОВ	40 минут
6	Американский тыквенный пирог с корицей	9 ИНГРЕДИЕНТОВ	2 часа
7	Азу по-татарски	7 ИНГРЕДИЕНТОВ	30 минут
8	Салат из красной фасоли с творожным сыром, красным луком и сезонным салатом	9 ИНГРЕДИЕНТОВ	7 минут
9	Пирог «Зебра»	7 ИНГРЕДИЕНТОВ	30 минут
10	Творожный кекс с яйцами	8 ИНГРЕДИЕНТОВ	30 минут
11	Оякодон (японский омлет с рисом и курицей)	7 ИНГРЕДИЕНТОВ	30 минут
12	Маффины с голубикой и мускатным орехом	10 ИНГРЕДИЕНТОВ	35 минут
13	Брускетта с помидорами	8 ИНГРЕДИЕНТОВ	10 минут
14	Картофель «Айдахо»	7 ИНГРЕДИЕНТОВ	1 час
15	Американские панкейки с корицей	7 ИНГРЕДИЕНТОВ	30 минут
16	Домашний рататуй	12 ИНГРЕДИЕНТОВ	25 минут
17	Крем-суп из тыквы	12 ИНГРЕДИЕНТОВ	15 минут
18	Пирог с капустой	9 ИНГРЕДИЕНТОВ	1 час 20 минут
19	Цветаевский яблочный пирог	8 ИНГРЕДИЕНТОВ	30 минут
20	Спагетти с чесноком и маслом	8 ИНГРЕДИЕНТОВ	15 минут
21	Морковные кексы с имбирем и корицей	12 ИНГРЕДИЕНТОВ	1 час
22	Суп харчо	9 ИНГРЕДИЕНТОВ	1 час 15 минут
23	Оладьи на кефире	9 ИНГРЕДИЕНТОВ	30 минут
24	Банановые панкейки	9 ИНГРЕДИЕНТОВ	1 час
25	Курица «Пикассо»	15 ИНГРЕДИЕНТОВ	45 минут
26	Фриттата с брокколи и сладким перцем	14 ИНГРЕДИЕНТОВ	15 минут
27	Торт «Сметанник»	9 ИНГРЕДИЕНТОВ	1 час 5 минут
28	Суп вишисуаз	9 ИНГРЕДИЕНТОВ	40 минут
29	Томатный магрибский суп	14 ИНГРЕДИЕНТОВ	30 минут
30	Гуакамоле	8 ИНГРЕДИЕНТОВ	20 минут
31	Медовик	8 ИНГРЕДИЕНТОВ	1 час
32	Оливье по-советски	9 ИНГРЕДИЕНТОВ	1 час
33	Гратен дофинуа	8 ИНГРЕДИЕНТОВ	1 час 5 минут
34	Солянка	19 ИНГРЕДИЕНТОВ	2 часа 10 минут
35	Луковый суп	10 ИНГРЕДИЕНТОВ	45 минут
36	Томатный суп из морепродуктов	11 ИНГРЕДИЕНТОВ	30 минут
37	Нут с баклажаном	11 ИНГРЕДИЕНТОВ	30 минут
38	Чечевичный суп с мятой	11 ИНГРЕДИЕНТОВ	30 минут
39	Печенье песочное	7 ИНГРЕДИЕНТОВ	1 час
40	Творожные пончики в сахарной пудре	8 ИНГРЕДИЕНТОВ	40 минут
41	Салат с креветками и кунжутом	11 ИНГРЕДИЕНТОВ	20 минут
42	Лазанья с мясным фаршем и пармезаном	12 ИНГРЕДИЕНТОВ	1 час
43	Настоящий греческий салат	9 ИНГРЕДИЕНТОВ	10 минут
44	Традиционный торт «Наполеон»	8 ИНГРЕДИЕНТОВ	4 часа
45	Сырный суп по-французски с курицей	12 ИНГРЕДИЕНТОВ	1 час
46	Завтрак для ленивых	5 ИНГРЕДИЕНТОВ	15 минут
47	Воздушные тонкие блины на молоке	7 ИНГРЕДИЕНТОВ	25 минут
48	Треска с помидорами	7 ИНГРЕДИЕНТОВ	15 минут
49	Имбирное печенье с ванильным сахаром	9 ИНГРЕДИЕНТОВ	20 минут
50	Американские блины	7 ИНГРЕДИЕНТОВ	20 минут
51	Тушеная капуста	12 ИНГРЕДИЕНТОВ	40 минут
52	Ризотто с шампиньонами	8 ИНГРЕДИЕНТОВ	40 минут
53	Овсяное печенье с изюмом и кунжутом	10 ИНГРЕДИЕНТОВ	25 минут
54	Грибной суп	13 ИНГРЕДИЕНТОВ	1 час 15 минут
55	Хек в зеленом чесночном соусе	5 ИНГРЕДИЕНТОВ	30 минут
56	Тушеная свинина	11 ИНГРЕДИЕНТОВ	2 часа
57	Яблочный крамбл	8 ИНГРЕДИЕНТОВ	30 минут
58	Ризотто со сливками и сладким перцем	11 ИНГРЕДИЕНТОВ	20 минут
59	Торт «Прага»	10 ИНГРЕДИЕНТОВ	2 часа
60	Тушеная говядина	10 ИНГРЕДИЕНТОВ	1 час 45 минут
61	Классический грибной жюльен	8 ИНГРЕДИЕНТОВ	40 минут
62	Торт «Птичье молоко»	10 ИНГРЕДИЕНТОВ	1 час 40 минут
63	Лапша удон с курицей, вешенками и зеленым луком	13 ИНГРЕДИЕНТОВ	20 минут
64	Лапша с тыквой и грибами	12 ИНГРЕДИЕНТОВ	30 минут
65	Киш лорен со шпинатом	14 ИНГРЕДИЕНТОВ	50 минут
66	Салат с обжаренными томатами	7 ИНГРЕДИЕНТОВ	10 минут
67	Котлеты морковные	7 ИНГРЕДИЕНТОВ	30 минут
68	Кабачки с помидорами и чесноком	13 ИНГРЕДИЕНТОВ	20 минут
69	Кубанские сырники	7 ИНГРЕДИЕНТОВ	30 минут
70	Чечевичный суп с томатами	13 ИНГРЕДИЕНТОВ	40 минут
71	Имбирный лимонад	4 ИНГРЕДИЕНТА	15 минут
72	Говядина по-бургундски	18 ИНГРЕДИЕНТОВ	3 часа
73	Кукси	16 ИНГРЕДИЕНТОВ	40 минут
74	Куриная печень в сметане	6 ИНГРЕДИЕНТОВ	30 минут
75	Шоколадный капкейк с кремом ганаш	14 ИНГРЕДИЕНТОВ	30 минут
76	Паэлья с креветками и курицей	17 ИНГРЕДИЕНТОВ	40 минут
77	Хинкали	11 ИНГРЕДИЕНТОВ	45 минут
78	Французские тосты с яблоками	9 ИНГРЕДИЕНТОВ	10 минут
79	Клафути с вишней и ванилью	9 ИНГРЕДИЕНТОВ	1 час 10 минут
80	Борщ	13 ИНГРЕДИЕНТОВ	2 часа 30 минут
81	Кутабы с зеленью	7 ИНГРЕДИЕНТОВ	15 минут
82	Хумус с зирой	11 ИНГРЕДИЕНТОВ	10 минут
83	Суп том-ям-кунг	13 ИНГРЕДИЕНТОВ	15 минут
84	Аджарские хачапури	11 ИНГРЕДИЕНТОВ	1 час 30 минут
85	Щавелевый суп	14 ИНГРЕДИЕНТОВ	35 минут
86	Классический рассольник на говяжьем бульоне	8 ИНГРЕДИЕНТОВ	1 час 35 минут
